Symbol,Final Train Loss,Final Val Loss,Sentiment Score,Prediction Signal
AAPL,0.020489264279603958,0.26804715394973755,0.13596882911392444,SELL
AMD,0.011110028252005577,0.02077719382941723,0.27139784463403765,SELL
AMZN,0.03876018524169922,0.008605081588029861,0.18473296649547616,BUY
BA,0.013629722408950329,0.0024610934779047966,0.18208496240601485,BUY
BX,0.028524363413453102,0.026069870218634605,0.312474,SELL
COST,0.009018572978675365,0.042628832161426544,0.18377633587786246,SELL
CRM,0.0037016957066953182,0.004219651222229004,0.2095660944206008,BUY
ENPH,0.10754692554473877,0.01614634320139885,0.3149814814814814,HOLD
GOOG,0.008836145512759686,0.004814159125089645,0.19433679318357877,BUY
INTC,0.053570378571748734,0.4579429030418396,0.17273523809523803,SELL
KOF,0.036575283855199814,0.16505300998687744,,SELL
META,0.01257276814430952,0.014461621642112732,0.151963249727372,HOLD
MSFT,0.0018772113835439086,0.0004806506622117013,0.18473296649547616,BUY
NFLX,0.007336846087127924,0.003866177750751376,0.09534174869716247,HOLD
NIO,0.06743241846561432,0.21504901349544525,0.23358480635551146,SELL
NOC,0.0036264800000935793,0.12312635034322739,0.10488709677419351,SELL
NU,0.01713997684419155,0.07329906523227692,,SELL
PG,0.0040780045092105865,0.15363764762878418,0.18473296649547616,SELL
PYPL,0.0027607327792793512,0.007654222194105387,0.1913120996441281,BUY
TSLA,0.01575290597975254,0.02209252491593361,0.16195136283469988,SELL
TSM,0.007056708447635174,0.015153647400438786,0.20516513503715644,HOLD
XPEV,0.041479092091321945,0.01732635125517845,0.2836817777777776,HOLD
ZS,0.015510663390159607,0.004791527055203915,0.28926943005181344,BUY
